NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
102.5,1566616,1884549,1054759,749373,1802227,1411505,219793,
103.5,1555318,2004476,1201443,783856,1877236,1484466,223680,
104.5,1542525,2125012,1366937,828885,1950795,1562831,228476,
105.5,1528682,2244066,1548552,883222,2021592,1645223,234930,
106.5,1514244,2359319,1741901,945438,2088295,1729839,243582,
107.5,1499661,2468299,1940944,1013842,2149615,1814472,254551,
108.5,1485375,2568473,2138299,1086480,2204362,1896598,267390,
109.5,1471800,2657364,2325831,1161186,2251510,1973538,281128,
110.5,1459319,2732676,2495448,1235695,2290249,2042677,294442,
111.5,1448275,2792426,2639973,1307783,2320033,2101698,305923,
112.5,1438967,2835061,2753931,1375432,2340603,2148799,314316,
113.5,1431642,2859559,2834107,1436971,2352001,2182856,318695,
114.5,1426496,2865499,2879771,1491199,2354562,2203505,318552,
115.5,1423666,2853089,2892567,1537440,2348888,2211130,313799,
116.5,1423236,2823157,2876109,1575562,2335804,2206774,304708,
117.5,1425231,2777092,2835402,1605930,2316315,2191994,291819,
118.5,1429618,2716763,2776199,1629332,2291545,2168691,275833,
119.5,1436307,2644397,2704408,1646876,2262679,2138934,257524,
120.5,1445155,2562455,2625620,1659885,2230911,2104805,237664,
121.5,1455963,2473497,2544783,1669789,2197398,2068286,216986,
122.5,1468486,2380064,2466036,1678040,2163217,2031169,196161,
123.5,1482435,2284568,2392655,1686041,2129335,1995007,175813,
124.5,1497482,2189218,2327093,1695090,2096596,1961096,156533,
125.5,1513274,2095960,2271077,1706350,2065699,1930472,138919,
126.5,1529437,2006450,2225722,1720825,2037203,1903927,123611,
127.5,1545591,1922047,2191650,1739347,2011523,1882031,111307,
128.5,1561361,1843829,2169095,1762567,1988938,1865158,102706,
129.5,1576393,1772613,2157989,1790954,1969601,1853510,98345,
130.5,1590362,1708997,2158028,1824781,1953548,1847143,98360,
131.5,1602988,1653395,2168716,1864122,1940712,1845987,102371,
132.5,1614043,1606078,2189390,1908837,1930933,1849856,109629,
133.5,1623361,1567216,2219237,1958558,1923973,1858469,119282,
134.5,1630842,1536912,2257297,2012682,1919530,1871453,130565,
135.5,1636454,1515233,2302471,2070356,1917250,1888353,142851,
136.5,1640232,1502235,2353516,2130481,1916741,1908641,155628,
137.5,1642270,1497991,2409058,2191720,1917589,1931726,168457,
138.5,1642719,1502601,2467605,2252526,1919372,1956964,180931,
139.5,1641772,1516209,2527569,2311187,1921672,1983682,192659,
140.5,1639658,1539012,2587301,2365891,1924096,2011192,203260,
141.5,1636626,1571264,2645134,2414806,1926283,2038822,212369,
142.5,1632934,1613276,2699430,2456181,1927919,2065948,219664,
143.5,1628842,1665419,2748638,2488442,1928749,2092018,224886,
144.5,1624597,1728112,2791345,2510300,1928584,2116587,227884,
145.5,1620424,1801815,2826328,2520830,1927301,2139340,228653,
146.5,1616525,1887010,2852597,2519541,1924855,2160105,227392,
147.5,1613065,1984183,2869427,2506412,1921265,2178870,224561,
148.5,1610175,2093793,2876372,2481890,1916622,2195770,220944,
149.5,1607947,2216238,2873273,2446858,1911072,2211078,217703,
150.5,1606433,2351809,2860243,2402577,1904813,2225175,216367,
151.5,1605646,2500639,2837644,2350596,1898082,2238521,218706,
152.5,1605565,2662644,2806050,2292663,1891143,2251613,226423,
153.5,1606132,2837456,2766209,2230618,1884278,2264938,240744,
154.5,1607258,3024345,2718992,2166305,1877773,2278935,262112,
155.5,1608833,3222152,2665353,2101493,1871910,2293948,290176,
156.5,1610722,3429212,2606280,2037814,1866957,2310197,324020,
157.5,1612778,3643294,2542758,1976720,1863163,2327742,362432,
158.5,1614842,3861550,2475737,1919464,1860746,2346468,404087,
159.5,1616755,4080497,2406104,1867092,1859894,2366068,447634,
160.5,1618359,4296026,2334667,1820451,1860761,2386053,491723,
161.5,1619507,4503457,2262141,1780207,1863463,2405755,535003,
162.5,1620062,4697639,2189143,1746865,1868075,2424357,576128,
163.5,1619910,4873107,2116191,1720794,1874636,2440928,613771,
164.5,1618957,5024288,2043711,1702253,1883146,2454471,646646,
165.5,1617136,5145749,1972038,1691408,1893569,2463980,673545,
166.5,1614408,5232482,1901432,1688355,1905830,2468501,693392,
167.5,1610762,5280201,1832082,1693127,1919825,2467199,705289,
168.5,1606217,5285625,1764124,1705706,1935415,2459417,708572,
169.5,1600818,5246731,1697644,1726021,1952434,2444730,702867,
170.5,1594638,5162937,1632698,1753952,1970691,2422983,688122,
171.5,1587772,5035208,1569313,1789316,1989974,2394317,664642,
172.5,1580336,4866056,1507501,1831864,2010051,2359161,633101,
173.5,1572459,4659439,1447267,1881263,2030677,2318221,594543,
174.5,1564286,4420562,1388612,1937085,2051600,2272429,550377,
175.5,1555968,4155585,1331539,1998792,2072560,2222889,502365,
176.5,1547660,3871290,1276058,2065724,2093297,2170806,452636,
177.5,1539518,3574707,1222185,2137088,2113558,2117411,403702,
178.5,1531694,3272751,1169947,2211957,2133095,2063889,358499,
179.5,1524334,2971898,1119379,2289266,2151676,2011311,320342,
180.5,1517574,2677916,1070524,2367827,2169085,1960585,292605,
181.5,1511539,2395674,1023430,2446341,2185124,1912422,277847,
182.5,1506342,2129034,978151,2523428,2199620,1867315,276615,
183.5,1502080,1880816,934743,2597662,2212426,1825545,286972,
184.5,1498835,1652837,893258,2667606,2223420,1787191,305429,
185.5,1496671,1446002,853751,2731864,2232508,1752159,328382,
186.5,1495638,1260432,816266,2789126,2239623,1720217,352939,
187.5,1495767,1095609,780844,2838215,2244728,1691033,377075,
188.5,1497073,950533,747516,2878132,2247809,1664213,399487,
189.5,1499554,823864,716307,2908089,2248880,1639339,419392,
190.5,1503192,714050,687229,2927538,2247977,1615997,436370,
191.5,1507952,619441,660288,2936185,2245157,1593805,450247,
192.5,1513786,538372,635481,2933997,2240495,1572426,461019,
193.5,1520630,469233,612795,2921188,2234085,1551586,468796,
194.5,1528405,410506,592215,2898205,2226031,1531072,473769,
195.5,1537022,360802,573716,2865697,2216452,1510738,476183,
196.5,1546379,318872,557274,2824481,2205474,1490496,476311,
197.5,1556363,283610,542859,2775502,2193228,1470313,474445,
198.5,1566853,254054,530444,2719793,2179853,1450200,470881,
199.5,1577720,229375,520000,2658436,2165489,1430204,465909,
200.5,1588829,208868,511503,2592522,2150274,1410399,459802,
201.5,1600041,191940,504930,2523120,2134351,1390876,452815,
202.5,1611214,178096,500264,2451250,2117857,1371736,445176,
203.5,1622208,166931,497494,2377860,2100927,1353084,437085,
204.5,1632882,158116,496612,2303812,2083693,1335023,428709,
205.5,1643102,151390,497621,2229872,2066281,1317653,420186,
206.5,1652737,146554,500526,2156702,2048814,1301066,411623,
207.5,1661666,143458,505342,2084863,2031408,1285347,403098,
208.5,1669778,142004,512088,2014818,2014174,1270572,394663,
209.5,1676974,142137,520791,1946935,1997216,1256811,386344,
210.5,1683167,143844,531481,1881494,1980634,1244124,378148,
211.5,1688286,147153,544194,1818701,1964519,1232571,370065,
212.5,1692275,152131,558967,1758688,1948958,1222204,362070,
213.5,1695095,158887,575841,1701533,1934032,1213078,354125,
214.5,1696723,167571,594855,1647259,1919815,1205245,346185,
215.5,1697153,178380,616045,1595850,1906376,1198761,338196,
216.5,1696396,191556,639446,1547253,1893776,1193685,330099,
217.5,1694478,207394,665082,1501392,1882074,1190084,321829,
218.5,1691442,226242,692971,1458166,1871320,1188028,313321,
219.5,1687342,248508,723119,1417462,1861559,1187598,304503,
220.5,1682248,274658,755516,1379154,1852832,1188882,295301,
221.5,1676239,305222,790137,1343112,1845173,1191976,285642,
222.5,1669403,340789,826935,1309201,1838611,1196988,275451,
223.5,1661837,382010,865844,1277285,1833170,1204029,264656,
224.5,1653643,429588,906775,1247233,1828867,1213221,253193,
225.5,1644929,484268,949612,1218916,1825714,1224688,241014,
226.5,1635803,546823,994213,1192208,1823718,1238553,228097,
227.5,1626376,618029,1040412,1166994,1822879,1254938,214468,
228.5,1616756,698642,1088016,1143162,1823192,1273954,200230,
229.5,1607052,789360,1136806,1120610,1824646,1295695,185608,
230.5,1597369,890783,1186539,1099242,1827223,1320231,171024,
231.5,1587805,1003365,1236951,1078974,1830897,1347598,157190,
232.5,1578455,1127366,1287761,1059727,1835638,1377790,145237,
233.5,1569410,1262796,1338669,1041431,1841408,1410743,136770,
234.5,1560750,1409369,1389367,1024025,1848162,1446335,133700,
235.5,1552551,1566454,1439536,1007455,1855847,1484368,137630,
236.5,1544881,1733041,1488856,991674,1864402,1524571,149099,
237.5,1537800,1907720,1537007,976642,1873760,1566586,167401,
238.5,1531361,2088675,1583675,962328,1883845,1609977,191112,
239.5,1525607,2273703,1628556,948704,1894574,1654229,218687,
240.5,1520575,2460253,1671358,935749,1905855,1698758,248741,
241.5,1516294,2645488,1711809,923447,1917591,1742926,280089,
242.5,1512786,2826367,1749654,911786,1929675,1786054,311707,
243.5,1510063,2999752,1784664,900758,1941994,1827446,342691,
244.5,1508133,3162518,1816634,890358,1954428,1866414,372234,
245.5,1506995,3311671,1845385,880585,1966851,1902297,399619,
246.5,1506640,3444472,1870769,871439,1979133,1934491,424219,
247.5,1507055,3558538,1892664,862924,1991138,1962464,445507,
248.5,1508218,3651942,1910979,855043,2002727,1985782,463066,
249.5,1510102,3723277,1925651,847802,2013760,2004118,476596,
250.5,1512673,3771701,1936645,841207,2024093,2017264,485918,
251.5,1515893,3796955,1943956,835263,2033586,2025131,490975,
252.5,1519716,3799347,1947604,829979,2042097,2027749,491830,
253.5,1524091,3779718,1947635,825359,2049491,2025259,488655,
254.5,1528964,3739377,1944120,821410,2055635,2017901,481716,
255.5,1534274,3680031,1937152,818137,2060403,2006000,471361,
256.5,1539955,3603692,1926846,815544,2063679,1989943,458001,
257.5,1545939,3512588,1913334,813635,2065355,1970170,442091,
258.5,1552152,3409072,1896770,812410,2065334,1947148,424110,
259.5,1558518,3295533,1877320,811872,2063532,1921355,404544,
260.5,1564956,3174326,1855167,812018,2059878,1893269,383876,
261.5,1571385,3047701,1830503,812847,2054318,1863351,362563,
262.5,1577719,2917754,1803534,814353,2046810,1832034,341034,
263.5,1583872,2786390,1774471,816531,2037332,1799719,319677,
264.5,1589758,2655298,1743533,819372,2025875,1766767,298836,
265.5,1595287,2525938,1710943,822866,2012449,1733497,278804,
266.5,1600374,2399539,1676927,826999,1997081,1700184,259827,
267.5,1604930,2277105,1641710,831758,1979811,1667063,242095,
268.5,1608871,2159429,1605515,837123,1960697,1634327,225750,
269.5,1612115,2047109,1568565,843077,1939813,1602136,210882,
270.5,1614581,1940569,1531075,849597,1917242,1570613,197532,
271.5,1616193,1840079,1493254,856657,1893083,1539853,185696,
272.5,1616880,1745782,1455303,864232,1867445,1509929,175327,
273.5,1616575,1657710,1417415,872292,1840445,1480887,166339,
274.5,1615216,1575807,1379770,880806,1812210,1452762,158618,
275.5,1612749,1499947,1342540,889739,1782871,1425569,152026,
276.5,1609125,1429949,1305882,899057,1752563,1399315,146412,
277.5,1604304,1365595,1269942,908722,1721425,1373998,141620,
278.5,1598253,1306637,1234854,918696,1689597,1349607,137499,
279.5,1590946,1252811,1200736,928939,1657217,1326130,133904,
280.5,1582366,1203844,1167696,939410,1624422,1303548,130708,
281.5,1572505,1159459,1135828,950069,1591347,1281842,127799,
282.5,1561363,1119384,1105216,960875,1558120,1260992,125079,
283.5,1548948,1083349,1075930,971789,1524865,1240976,122472,
284.5,1535276,1051097,1048030,982770,1491699,1221775,119913,
285.5,1520373,1022381,1021565,993782,1458732,1203367,117354,
286.5,1504270,996963,996577,1004790,1426068,1185734,114757,
287.5,1487009,974620,973096,1015760,1393801,1168857,112096,
288.5,1468635,955139,951149,1026663,1362016,1152720,109354,
289.5,1449202,938320,930751,1037473,1330793,1137308,106523,
290.5,1428770,923973,911916,1048169,1300200,1122605,103601,
291.5,1407403,911918,894651,1058732,1270299,1108601,100592,
292.5,1385170,901985,878959,1069151,1241142,1095281,97507,
293.5,1362144,894011,864839,1079419,1212774,1082637,94363,
294.5,1338403,887838,852291,1089532,1185234,1070659,91181,
295.5,1314023,883315,841310,1099495,1158550,1059339,87989,
296.5,1289086,880297,831891,1109318,1132747,1048668,84820,
297.5,1263674,878638,824027,1119014,1107842,1038639,81715,
298.5,1237867,878199,817713,1128604,1083847,1029246,78720,
299.5,1211747,878837,812943,1138114,1060766,1020481,75887,
300.5,1185395,880415,809712,1147575,1038601,1012340,73276,
301.5,1158890,882793,808015,1157023,1017349,1004814,70952,
302.5,1132308,885832,807847,1166498,997002,997897,68982,
303.5,1105723,889392,809206,1176045,977550,991583,67437,
304.5,1079207,893333,812088,1185713,958977,985864,66384,
305.5,1052827,897515,816491,1195554,941268,980731,65880,
306.5,1026648,901798,822413,1205621,924403,976177,65973,
307.5,1000730,906044,829849,1215972,908360,972191,66691,
