NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
151.5,1443626,3600857,1644737,615901,405453,1542115,566062,
152.5,1469296,3767202,1589813,632409,451257,1581995,590261,
153.5,1495688,3870821,1537703,653960,503666,1612368,602809,
154.5,1522377,3909563,1488653,680600,563287,1632896,602792,
155.5,1548948,3885349,1442858,712402,630731,1644058,590243,
156.5,1575010,3803641,1400474,749450,706594,1647034,565995,
157.5,1600206,3672591,1361617,791826,791439,1643536,531503,
158.5,1624222,3502036,1326368,839593,885777,1635599,488631,
159.5,1646790,3302487,1294781,892778,990041,1625375,439477,
160.5,1667701,3084245,1266885,951362,1104561,1614951,386239,
161.5,1686804,2856719,1242690,1015257,1229539,1606202,331174,
162.5,1704009,2627984,1222193,1084300,1365018,1600701,276719,
163.5,1719286,2404551,1205380,1158237,1510855,1599662,225871,
164.5,1732660,2191339,1192230,1236716,1666691,1603927,183017,
165.5,1744213,1991773,1182720,1319285,1831916,1613981,154922,
166.5,1754070,1807976,1176823,1405389,2005652,1629982,148997,
167.5,1762398,1641000,1174516,1494382,2186715,1651802,165991,
168.5,1769394,1491065,1175775,1585533,2373607,1679075,198487,
169.5,1775281,1357789,1180582,1678043,2564494,1711238,238723,
170.5,1780298,1240375,1188919,1771070,2757208,1747574,281987,
171.5,1784694,1137777,1200773,1863753,2949256,1787251,325721,
172.5,1788720,1048823,1216133,1955233,3137846,1829351,368437,
173.5,1792627,972308,1234989,2044691,3319932,1872909,409137,
174.5,1796656,907057,1257329,2131363,3492277,1916937,447050,
175.5,1801040,851971,1283142,2214575,3651540,1960454,481521,
176.5,1805998,806049,1312411,2293756,3794382,2002519,511957,
177.5,1811731,768406,1345114,2368457,3917584,2042258,537825,
178.5,1818426,738276,1381219,2438362,4018182,2078893,558655,
179.5,1826252,715010,1420685,2503289,4093603,2111768,574065,
180.5,1835360,698072,1463456,2563194,4141794,2140375,583778,
181.5,1845881,687034,1509459,2618158,4161341,2164375,587651,
182.5,1857931,681567,1558605,2668385,4151556,2183609,585690,
183.5,1871610,681433,1610783,2714178,4112538,2198108,578067,
184.5,1886997,686479,1665861,2755933,4045183,2208091,565131,
185.5,1904160,696627,1723682,2794110,3951166,2213949,547408,
186.5,1923148,711873,1784066,2829225,3832861,2216235,525596,
187.5,1943997,732272,1846806,2861825,3693243,2215628,500553,
188.5,1966728,757938,1911674,2892473,3535737,2212910,473285,
189.5,1991349,789036,1978414,2921733,3364069,2208920,444916,
190.5,2017851,825776,2046752,2950156,3182095,2204526,416671,
191.5,2046213,868402,2116392,2978267,2993640,2200583,389831,
192.5,2076402,917189,2187022,3006555,2802349,2197903,365676,
193.5,2108369,972432,2258315,3035469,2611570,2197231,345404,
194.5,2142052,1034437,2329938,3065402,2424256,2199217,329999,
195.5,2177378,1103509,2401548,3096697,2242909,2204408,320096,
196.5,2214258,1179939,2472805,3129633,2069549,2213237,315873,
197.5,2252593,1263994,2543373,3164431,1905718,2226022,317027,
198.5,2292269,1355899,2612924,3201244,1752499,2242967,322881,
199.5,2333164,1455824,2681143,3240160,1610564,2264171,332551,
200.5,2375142,1563865,2747734,3281202,1480221,2289633,345128,
201.5,2418059,1680035,2812423,3324323,1361483,2319265,359796,
202.5,2461763,1804241,2874959,3369413,1254118,2352899,375902,
203.5,2506092,1936276,2935121,3416293,1157720,2390300,392956,
204.5,2550880,2075803,2992717,3464722,1071753,2431175,410621,
205.5,2595957,2222351,3047585,3514398,995602,2475179,428677,
206.5,2641150,2375302,3099597,3564960,928614,2521924,446989,
207.5,2686284,2533897,3148655,3615995,870124,2570991,465475,
208.5,2731186,2697230,3194693,3667042,819486,2621927,484083,
209.5,2775685,2864264,3237674,3717600,776087,2674262,502765,
210.5,2819615,3033834,3277589,3767136,739361,2727507,521463,
211.5,2862816,3204671,3314456,3815093,708798,2781167,540099,
212.5,2905133,3375419,3348312,3860901,683948,2834743,558568,
213.5,2946422,3544658,3379219,3903991,664425,2887743,576734,
214.5,2986547,3710938,3407252,3943801,649905,2939688,594432,
215.5,3025381,3872800,3432501,3979794,640126,2990121,611474,
216.5,3062810,4028816,3455069,4011467,634887,3038610,627649,
217.5,3098726,4177608,3475064,4038360,634045,3084761,642737,
218.5,3133035,4317887,3492600,4060073,637512,3128221,656509,
219.5,3165651,4448473,3507794,4076269,645253,3168688,668741,
220.5,3196497,4568320,3520764,4086686,657280,3205910,679215,
221.5,3225504,4676535,3531625,4091140,673653,3239691,687730,
222.5,3252611,4772390,3540489,4089531,694473,3269899,694104,
223.5,3277760,4855335,3547463,4081842,719880,3296456,698177,
224.5,3300901,4924999,3552649,4068139,750048,3319347,699817,
225.5,3321986,4981190,3556141,4048570,785182,3338614,698917,
226.5,3340969,5023892,3558027,4023357,825510,3354351,695400,
227.5,3357805,5053252,3558388,3992790,871279,3366703,689217,
228.5,3372450,5069568,3557297,3957220,922748,3375857,680342,
229.5,3384858,5073279,3554820,3917048,980178,3382037,668780,
230.5,3394983,5064939,3551017,3872717,1043825,3385496,654554,
231.5,3402777,5045206,3545940,3824698,1113931,3386510,637714,
232.5,3408189,5014817,3539639,3773483,1190713,3385368,618327,
233.5,3411168,4974574,3532157,3719573,1274349,3382364,596483,
234.5,3411661,4925322,3523534,3663470,1364970,3377791,572289,
235.5,3409615,4867932,3513808,3605664,1462646,3371933,545874,
236.5,3404975,4803289,3503015,3546633,1567378,3365058,517386,
237.5,3397689,4732272,3491188,3486831,1679080,3357412,486996,
238.5,3387708,4655745,3478363,3426681,1797579,3349215,454904,
239.5,3374987,4574545,3464574,3366577,1922598,3340656,421342,
240.5,3359485,4489477,3449858,3306877,2053756,3331890,386584,
241.5,3341168,4401302,3434253,3247901,2190558,3323037,350964,
242.5,3320015,4310735,3417801,3189930,2332401,3314176,314898,
243.5,3296010,4218441,3400544,3133209,2478571,3305355,278934,
244.5,3269152,4125032,3382530,3077942,2628247,3296581,243818,
245.5,3239453,4031067,3363808,3024299,2780512,3287828,210634,
246.5,3206941,3937055,3344432,2972413,2934359,3279040,181009,
247.5,3171656,3843448,3324457,2922383,3088707,3270130,157351,
