NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
83.5,538874,1761369,776013,2266748,582724,1185146,349990,
84.5,573537,1939614,863192,2508687,712336,1319473,382886,
85.5,611435,2111132,952227,2734916,845225,1450987,412603,
86.5,652488,2269956,1041807,2934421,974066,1574548,437460,
87.5,696494,2410404,1130651,3098258,1091274,1685416,456096,
88.5,743112,2527525,1217597,3220748,1189995,1779795,467658,
89.5,791855,2617478,1301665,3300066,1265006,1855214,471918,
90.5,842084,2677787,1382110,3338157,1313333,1910694,469268,
91.5,893010,2707480,1458428,3340048,1334480,1946689,460635,
92.5,943715,2707071,1530344,3312800,1330259,1964838,447330,
93.5,993177,2678442,1597776,3264356,1304296,1967610,430878,
94.5,1040308,2624618,1660777,3202535,1261368,1957921,412859,
95.5,1083998,2549478,1719474,3134279,1206712,1938788,394768,
96.5,1123170,2457446,1774007,3065209,1145426,1913052,377910,
97.5,1156831,2353169,1824470,2999456,1082046,1883194,363305,
98.5,1184124,2241232,1870870,2939678,1020309,1851242,351615,
99.5,1204374,2125911,1913094,2887212,963084,1818735,343109,
100.5,1217121,2010999,1950900,2842281,912424,1786745,337661,
101.5,1222140,1899686,1983918,2804228,869695,1755933,334807,
102.5,1219450,1794510,2011670,2771752,835734,1726623,333846,
103.5,1209306,1697365,2033602,2743128,811004,1698881,333954,
104.5,1192176,1609541,2049127,2716418,795729,1672598,334291,
105.5,1168712,1531805,2057679,2689665,789997,1647571,334087,
106.5,1139704,1464482,2058762,2661058,793828,1623567,332692,
107.5,1106041,1407547,2052006,2629068,807204,1600373,329609,
108.5,1068663,1360699,2037207,2592540,830070,1577836,324516,
109.5,1028515,1323434,2014363,2550740,862303,1555871,317266,
110.5,986512,1295088,1983689,2503346,903653,1534458,307897,
111.5,943504,1274880,1945622,2450395,953671,1513614,296626,
112.5,900257,1261927,1900807,2392201,1011614,1493361,283843,
113.5,857432,1255265,1850063,2329245,1076369,1473675,270091,
114.5,815580,1253853,1794352,2262069,1146377,1454446,256036,
115.5,775140,1256580,1734724,2191176,1219612,1435446,242413,
116.5,736444,1262274,1672274,2116960,1293606,1416312,229938,
117.5,699725,1269723,1608092,2039663,1365549,1396550,219198,
118.5,665129,1277690,1543219,1959372,1432451,1375572,210532,
119.5,632727,1284948,1478621,1876038,1491373,1352742,203951,
120.5,602529,1290312,1415155,1789539,1539676,1327442,199142,
121.5,574494,1292686,1353561,1699744,1575265,1299150,195556,
122.5,548548,1291093,1294452,1606604,1596783,1267496,192561,
123.5,524589,1284720,1238316,1510235,1603725,1232317,189584,
