NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
94.5,1498086,1539120,1954013,898096,1282908,1434445,172568,
95.5,1546818,1629641,1856882,931479,1221015,1437167,162430,
96.5,1603765,1715033,1744117,978522,1165970,1441481,155402,
97.5,1669184,1792457,1618231,1039154,1117782,1447362,153745,
98.5,1742965,1859296,1483082,1113086,1076331,1454952,159289,
99.5,1824583,1913336,1343433,1199635,1041408,1464479,172472,
100.5,1913054,1952926,1204342,1297537,1012739,1476120,192189,
101.5,2006904,1977083,1070552,1404780,990000,1489864,216522,
102.5,2104163,1985543,945991,1518481,972835,1505403,243494,
103.5,2202399,1978750,833485,1634862,960858,1522071,271407,
104.5,2298794,1957779,734697,1749342,953651,1538853,298868,
105.5,2390274,1924216,650249,1856781,950764,1554457,324711,
106.5,2473680,1880010,579958,1951845,951707,1567440,347921,
107.5,2545961,1827314,523110,2029477,955944,1576361,367605,
108.5,2604379,1768335,478730,2085394,962886,1579945,383006,
109.5,2646687,1705202,445793,2116525,971893,1577220,393544,
110.5,2671263,1639866,423384,2121321,982267,1567620,398857,
111.5,2677180,1574035,410814,2099883,993265,1551036,398822,
112.5,2664211,1509132,407681,2053883,1004111,1527803,393539,
113.5,2632769,1446288,413911,1986305,1014014,1498657,383295,
114.5,2583796,1386353,429783,1901071,1022201,1464641,368496,
115.5,2518629,1329919,455927,1802604,1027944,1427005,349599,
116.5,2438859,1277356,493316,1695407,1030595,1387107,327050,
117.5,2346209,1228846,543222,1583717,1029624,1346324,301264,
118.5,2242436,1184423,607139,1471248,1024645,1305978,272632,
119.5,2129270,1144007,686648,1361045,1015439,1267282,241617,
120.5,2008392,1107435,783197,1255440,1001967,1231286,208948,
121.5,1881434,1074488,897800,1156072,984368,1198833,176047,
122.5,1750004,1044912,1030635,1063968,962949,1170493,145874,
123.5,1615713,1018434,1180572,979642,938159,1146504,124292,
124.5,1480199,994783,1344703,903212,910561,1126692,119698,
125.5,1345133,973690,1517945,834502,880793,1110413,135779,
126.5,1212203,954905,1692877,773136,849534,1096531,166532,
127.5,1083078,938194,1859914,718613,817463,1083452,203452,
128.5,959343,923349,2007945,670372,785232,1069248,240238,
129.5,842435,910182,2125423,627828,753443,1051862,272518,
130.5,733566,898531,2201807,590407,722625,1029387,297154,
131.5,633662,888256,2229108,557567,693228,1000364,312030,
