NTA Experiment Summary File,
112.5,3618269,3160688,4406938,1907779,3273419,522930,
113.5,3739230,3276429,4501119,1737747,3313631,582813,
114.5,3863081,3398753,4597112,1592667,3362903,639562,
115.5,3989513,3527310,4694755,1470638,3420554,692873,
116.5,4118219,3661686,4793866,1369628,3485850,742749,
117.5,4248897,3801393,4894241,1287652,3558046,789335,
118.5,4381257,3945878,4995656,1222885,3636419,832828,
119.5,4515012,4094521,5097871,1173726,3720282,873420,
120.5,4649889,4246638,5200627,1138831,3808996,911274,
121.5,4785619,4401489,5303655,1117121,3901971,946505,
122.5,4921940,4558286,5406673,1107776,3998669,979172,
123.5,5058593,4716196,5509391,1110221,4098600,1009280,
124.5,5195316,4874362,5611512,1124107,4201324,1036778,
125.5,5331846,5031907,5712739,1149292,4306446,1061564,
126.5,5467909,5187947,5812773,1185817,4413611,1083492,
127.5,5603222,5341609,5911316,1233883,4522507,1102373,
128.5,5737485,5492039,6008079,1293829,4632858,1117987,
129.5,5870383,5638419,6102778,1366104,4744421,1130088,
130.5,6001580,5779975,6195142,1451241,4856985,1138411,
131.5,6130720,5915989,6284911,1549825,4970361,1142685,
132.5,6257427,6045810,6371841,1662462,5084385,1142638,
133.5,6381304,6168859,6455703,1789742,5198902,1138010,
134.5,6501940,6284635,6536288,1932202,5313766,1128564,
135.5,6618905,6392722,6613403,2090285,5428829,1114094,
136.5,6731762,6492788,6686879,2264299,5543932,1094440,
137.5,6840066,6584583,6756564,2454383,5658899,1069495,
138.5,6943373,6667944,6822325,2660468,5773527,1039216,
139.5,7041242,6742787,6884051,2882248,5887582,1003630,
140.5,7133245,6809101,6941651,3119161,6000789,962844,
141.5,7218972,6866947,6995048,3370374,6112835,917043,
142.5,7298034,6916452,7044188,3634787,6223365,866495,
143.5,7370075,6957795,7089027,3911037,6331984,811551,
144.5,7434772,6991208,7129541,4197530,6438263,752636,
145.5,7491841,7016964,7165715,4492470,6541748,690253,
146.5,7541043,7035370,7197549,4793904,6641967,624974,
147.5,7582186,7046762,7225052,5099776,6738444,557448,
148.5,7615125,7051494,7248241,5407980,6830710,488411,
149.5,7639770,7049937,7267142,5716420,6918317,418733,
150.5,7656078,7042469,7281788,6023064,7000850,349529,
151.5,7664058,7029470,7292214,6325993,7077934,282433,
152.5,7663770,7011321,7298464,6623444,7149250,220320,
153.5,7655321,6988394,7300582,6913844,7214535,169128,
154.5,7638862,6961053,7298615,7195833,7273591,140764,
155.5,7614588,6929650,7292615,7468272,7326281,147685,
156.5,7582730,6894522,7282634,7730246,7372533,184553,
157.5,7543556,6855987,7268726,7981052,7412330,236433,
158.5,7497363,6814348,7250947,8220183,7445710,294254,
159.5,7444476,6769885,7229356,8447301,7472755,354002,
160.5,7385242,6722861,7204013,8662205,7493580,413852,
161.5,7320026,6673516,7174979,8864803,7508331,472891,
162.5,7249207,6622070,7142319,9055068,7517166,530617,
163.5,7173176,6568723,7106102,9233013,7520254,586724,
164.5,7092330,6513654,7066398,9398649,7517758,641008,
165.5,7007071,6457022,7023281,9551962,7509834,693314,
166.5,6917801,6398968,6976830,9692884,7496621,743507,
167.5,6824921,6339614,6927126,9821271,7478233,791455,
168.5,6728826,6279065,6874257,9936891,7454760,837019,
169.5,6629908,6217410,6818314,10039410,7426260,880040,
170.5,6528546,6154724,6759392,10128390,7392763,920345,
171.5,6425113,6091067,6697593,10203291,7354266,957739,
172.5,6319967,6026487,6633022,10263477,7310738,992005,
173.5,6213457,5961021,6565790,10308234,7262125,1022914,
174.5,6105913,5894695,6496012,10336782,7208350,1050221,
175.5,5997654,5827529,6423807,10348305,7149324,1073675,
176.5,5888982,5759533,6349300,10341975,7084948,1093026,
177.5,5780181,5690715,6272619,10316983,7015124,1108029,
178.5,5671521,5621073,6193894,10272574,6939766,1118456,
179.5,5563253,5550608,6113260,10208080,6858800,1124104,
180.5,5455609,5479315,6030854,10122954,6772183,1124800,
181.5,5348806,5407190,5946817,10016803,6679904,1120414,
182.5,5243042,5334228,5861288,9889419,6581994,1110863,
183.5,5138497,5260428,5774412,9740804,6478535,1096117,
184.5,5035332,5185789,5686330,9571190,6369661,1076209,
185.5,4933695,5110316,5597186,9381058,6255564,1051234,
186.5,4833712,5034015,5507124,9171140,6136498,1021351,
187.5,4735494,4956900,5416285,8942422,6012775,986786,
188.5,4639136,4878989,5324810,8696135,5884768,947828,
189.5,4544717,4800306,5232839,8433741,5752901,904825,
190.5,4452301,4720881,5140508,8156905,5617649,858182,
191.5,4361937,4640752,5047951,7867476,5479529,808348,
192.5,4273658,4559962,4955299,7567440,5339090,755812,
193.5,4187487,4478563,4862680,7258891,5196905,701096,
194.5,4103432,4396610,4770217,6943986,5053561,644743,
195.5,4021491,4314168,4678029,6624905,4909648,587308,
196.5,3941648,4231307,4586233,6303806,4765748,529356,
197.5,3863879,4148101,4494938,5982791,4622427,471454,
198.5,3788150,4064630,4404250,5663866,4480224,414172,
199.5,3714418,3980980,4314270,5348913,4339645,358099,
200.5,3642632,3897239,4225091,5039659,4201156,303860,
201.5,3572735,3813500,4136805,4737661,4065175,252191,
202.5,3504661,3729857,4049496,4444286,3932075,204068,
203.5,3438341,3646407,3963242,4160706,3802174,161019,
204.5,3373701,3563247,3878116,3887892,3675739,125780,
205.5,3310661,3480474,3794187,3626617,3552985,103109,
206.5,3249141,3398187,3711514,3377462,3434076,98178,
207.5,3189056,3316480,3630156,3140824,3319129,110097,
208.5,3130320,3235449,3550161,2916935,3208216,131840,
209.5,3072846,3155186,3471576,2705869,3101369,157370,
210.5,3016548,3075777,3394439,2507564,2998582,183504,
211.5,2961339,2997309,3318785,2321839,2899818,208743,
212.5,2907132,2919862,3244642,2148411,2805012,232382,
213.5,2853845,2843512,3172033,1986912,2714076,254097,
214.5,2801395,2768330,3100979,1836906,2626902,273753,
215.5,2749703,2694381,3031491,1697904,2543370,291326,
216.5,2698695,2621725,2963578,1569380,2463345,306850,
217.5,2648299,2550418,2897247,1450781,2386686,320395,
218.5,2598448,2480506,2832495,1341542,2313248,332057,
219.5,2549080,2412034,2769320,1241092,2242881,341942,
220.5,2500138,2345036,2707714,1148863,2175438,350163,
221.5,2451570,2279545,2647663,1064298,2110769,356836,
222.5,2403331,2215585,2589154,986858,2048732,362079,
223.5,2355382,2153176,2532167,916021,1989186,366003,
224.5,2307689,2092330,2476680,851290,1931997,368721,
225.5,2260225,2033058,2422669,792193,1877037,370335,
226.5,2212971,1975363,2370107,738285,1824181,370947,
227.5,2165911,1919243,2318963,689149,1773316,370650,
228.5,2119038,1864694,2269205,644394,1724333,369532,
229.5,2072351,1811705,2220800,603660,1677129,367676,
230.5,2025852,1760263,2173711,566611,1631609,365157,
231.5,1979553,1710351,2127900,532937,1587686,362047,
232.5,1933468,1661949,2083330,502356,1545276,358410,
233.5,1887617,1615034,2039959,474607,1504304,354306,
234.5,1842025,1569579,1997746,449453,1464701,349790,
235.5,1796720,1525557,1956650,426675,1426400,344913,
236.5,1751735,1482937,1916627,406078,1389344,339721,
