NTA Experiment Summary File,
202.5,11067,258328,0,4642,68509,63313,
203.5,10761,276136,0,4035,72733,67837,
204.5,10476,289608,0,3510,75899,71270,
205.5,10211,297910,0,3056,77794,73403,
206.5,9967,300480,0,2664,78278,74097,
207.5,9744,297095,0,2327,77291,73297,
208.5,9540,287897,0,2036,74868,71039,
209.5,9356,273384,0,1787,71132,67448,
210.5,9193,254364,0,1572,66282,62726,
211.5,9049,231876,0,1387,60578,57134,
212.5,8925,207091,0,1228,54311,50965,
213.5,8820,181209,0,1091,47780,44520,
214.5,8736,155357,0,974,41267,38080,
215.5,8671,130513,0,873,35014,31892,
216.5,8627,107449,0,786,29215,26150,
217.5,8602,86705,0,711,24005,20991,
218.5,8599,68591,0,647,19459,16493,
219.5,8616,53206,0,592,15603,12687,
220.5,8654,40480,0,544,12419,9560,
221.5,8714,30215,0,503,9858,7073,
222.5,8796,22133,0,468,7849,5172,
223.5,8901,15917,0,438,6314,3800,
224.5,9029,11241,0,413,5171,2903,
225.5,9182,7800,0,392,4343,2412,
226.5,9359,5319,0,374,3763,2224,
227.5,9561,3567,0,359,3372,2213,
228.5,9791,2353,0,347,3123,2282,
229.5,10047,1528,0,337,2978,2379,
230.5,10332,977,0,330,2910,2482,
231.5,10647,615,0,325,2897,2586,
232.5,10991,382,0,323,2924,2690,
233.5,11367,234,0,322,2981,2796,
234.5,11776,141,0,323,3060,2906,
235.5,12218,84,0,326,3157,3021,
236.5,12693,50,0,331,3269,3142,
237.5,13204,29,0,338,3393,3271,
238.5,13750,17,0,347,3528,3408,
239.5,14332,10,0,359,3675,3553,
240.5,14950,5,0,372,3832,3707,
241.5,15604,3,0,388,3999,3870,
242.5,16295,2,0,406,4176,4041,
243.5,17021,0,0,428,4362,4221,
244.5,17781,0,0,452,4558,4409,
245.5,18575,0,0,479,4764,4605,
246.5,19401,0,0,510,4978,4809,
247.5,20257,0,0,545,5200,5020,
248.5,21139,0,0,584,5431,5238,
249.5,22045,0,0,627,5668,5461,
250.5,22972,0,0,676,5912,5689,
251.5,23915,0,0,731,6161,5920,
252.5,24869,0,0,791,6415,6154,
253.5,25829,0,0,858,6672,6389,
254.5,26790,0,0,933,6931,6623,
