NTA Experiment Summary File,
97.5,776899,1994883,1243277,1806429,1455372,276831,
98.5,808236,2041797,1502080,1910822,1565734,277425,
99.5,841767,2089965,1795499,2015003,1685559,288119,
100.5,877639,2139395,2120532,2118237,1813951,312140,
101.5,916003,2190138,2471753,2219816,1949428,350219,
102.5,957014,2242292,2841408,2319073,2089947,400410,
103.5,1000827,2296000,3219805,2415398,2233008,459100,
104.5,1047599,2351444,3596005,2508251,2375825,522107,
105.5,1097481,2408840,3958699,2597166,2515546,585352,
106.5,1150617,2468432,4297173,2681763,2649496,645194,
107.5,1207146,2530485,4602199,2761749,2775395,698617,
108.5,1267190,2595278,4866744,2836919,2891533,743342,
109.5,1330858,2663091,5086390,2907156,2996874,777879,
110.5,1398239,2734204,5259455,2972423,3091080,801509,
111.5,1469399,2808879,5386816,3032764,3174464,814222,
112.5,1544379,2887358,5471518,3088292,3247887,816595,
113.5,1623191,2969852,5518240,3139184,3312617,809655,
114.5,1705816,3056534,5532722,3185670,3370186,794728,
115.5,1792202,3147528,5521209,3228023,3422241,773298,
116.5,1882261,3242905,5489979,3266553,3470425,746893,
117.5,1975870,3342674,5444976,3301596,3516279,716994,
118.5,2072868,3446776,5391554,3333505,3561176,684973,
119.5,2173059,3555083,5334324,3362641,3606277,652063,
120.5,2276209,3667386,5277092,3389369,3652514,619337,
121.5,2382052,3783403,5222852,3414047,3700589,587707,
122.5,2490290,3902768,5173832,3437025,3750979,557932,
123.5,2600593,4025039,5131558,3458636,3803956,530623,
124.5,2712605,4149696,5096934,3479194,3859607,506249,
125.5,2825947,4276151,5070328,3498992,3917854,485136,
126.5,2940218,4403748,5051652,3518296,3978478,467467,
127.5,3055000,4531778,5040435,3537347,4041140,453284,
128.5,3169861,4659485,5035895,3556361,4105400,442484,
129.5,3284359,4786080,5037004,3575522,4170741,434838,
130.5,3398043,4910755,5042550,3594990,4236584,430008,
131.5,3510459,5032693,5051189,3614897,4302309,427575,
132.5,3621149,5151089,5061509,3635348,4367274,427078,
133.5,3729659,5265160,5072080,3656424,4430831,428043,
134.5,3835539,5374159,5081505,3678181,4492346,430016,
135.5,3938344,5477392,5088475,3700655,4551216,432581,
136.5,4037641,5574224,5091814,3723860,4606885,435380,
137.5,4133012,5664095,5090515,3747791,4658853,438120,
138.5,4224052,5746524,5083779,3772427,4706696,440571,
139.5,4310381,5821117,5071034,3797732,4750066,442571,
140.5,4391640,5887568,5051953,3823655,4788704,444014,
141.5,4467501,5945664,5026452,3850135,4822438,444842,
142.5,4537668,5995282,4994685,3877100,4851184,445036,
143.5,4601880,6036387,4957027,3904470,4874941,444604,
144.5,4659918,6069027,4914046,3932158,4893787,443567,
145.5,4711606,6093329,4866473,3960072,4907870,441953,
146.5,4756817,6109489,4815164,3988117,4917397,439781,
147.5,4795471,6117767,4761062,4016192,4922623,437060,
148.5,4827543,6118477,4705162,4044198,4923845,433784,
149.5,4853059,6111979,4648469,4072033,4921385,429929,
150.5,4872098,6098669,4591973,4099595,4915584,425455,
151.5,4884793,6078972,4536614,4126784,4906791,420311,
152.5,4891327,6053335,4483263,4153500,4895356,414438,
153.5,4891930,6022217,4432703,4179646,4881624,407775,
154.5,4886878,5986083,4385613,4205127,4865925,400265,
155.5,4876486,5945398,4342561,4229849,4848573,391862,
