NTA Experiment Summary File,
239.5,2948605,2874771,4088010,3430185,3335393,279463,
240.5,2884682,2782829,4010686,3326055,3251063,279304,
241.5,2823981,2694563,3934044,3224265,3169213,278759,
242.5,2766379,2609865,3858062,3124891,3089799,277848,
243.5,2711758,2528627,3782719,3027999,3012776,276595,
244.5,2660002,2450740,3707993,2933641,2938094,275017,
245.5,2610995,2376095,3633870,2841863,2865706,273136,
246.5,2564626,2304585,3560334,2752698,2795560,270971,
247.5,2520787,2236101,3487373,2666168,2727607,268541,
248.5,2479370,2170538,3414980,2582289,2661794,265867,
249.5,2440270,2107792,3343147,2501065,2598069,262968,
250.5,2403387,2047759,3271873,2422493,2536378,259865,
251.5,2368619,1990338,3201157,2346559,2476668,256581,
252.5,2335868,1935431,3131003,2273246,2418887,253137,
253.5,2305037,1882940,3061416,2202527,2362980,249559,
254.5,2276033,1832771,2992406,2134367,2308894,245870,
255.5,2248760,1784831,2923985,2068729,2256577,242096,
256.5,2223128,1739031,2856167,2005569,2205974,238265,
257.5,2199045,1695283,2788968,1944838,2157033,234405,
258.5,2176420,1653501,2722409,1886482,2109703,230544,
259.5,2155165,1613604,2656511,1830446,2063932,226713,
260.5,2135191,1575511,2591297,1776670,2019667,222940,
261.5,2116409,1539145,2526792,1725092,1976859,219257,
262.5,2098732,1504430,2463023,1675647,1935458,215691,
263.5,2082071,1471294,2400017,1628271,1895413,212271,
264.5,2066340,1439666,2337802,1582896,1856676,209024,
265.5,2051451,1409478,2276407,1539455,1819198,205975,
266.5,2037316,1380664,2215862,1497878,1782930,203145,
267.5,2023847,1353162,2156196,1458097,1747825,200553,
268.5,2010956,1326908,2097436,1420044,1713836,198212,
269.5,1998556,1301844,2039613,1383649,1680916,196134,
270.5,1986557,1277914,1982752,1348846,1649017,194322,
271.5,1974872,1255060,1926881,1315567,1618095,192777,
272.5,1963413,1233230,1872025,1283745,1588103,191494,
273.5,1952091,1212373,1818207,1253315,1558997,190460,
274.5,1940820,1192438,1765448,1224213,1530730,189662,
275.5,1929511,1173378,1713770,1196376,1503259,189078,
276.5,1918078,1155146,1663189,1169740,1476539,188683,
277.5,1906437,1137697,1613723,1144247,1450526,188449,
278.5,1894503,1120989,1565383,1119837,1425178,188345,
279.5,1882194,1104978,1518182,1096451,1400451,188339,
280.5,1869431,1089626,1472128,1074034,1376305,188394,
281.5,1856137,1074892,1427228,1052531,1352697,188477,
282.5,1842236,1060740,1383485,1031888,1329587,188551,
283.5,1827658,1047132,1340901,1012053,1306936,188582,
284.5,1812337,1034035,1299476,992976,1284706,188537,
285.5,1796210,1021414,1259205,974608,1262859,188384,
286.5,1779219,1009236,1220084,956902,1241360,188092,
287.5,1761313,997470,1182105,939810,1220175,187635,
288.5,1742445,986085,1145258,923290,1199269,186987,
289.5,1722576,975052,1109530,907298,1178614,186127,
290.5,1701673,964344,1074909,891792,1158179,185035,
291.5,1679709,953932,1041378,876732,1137938,183695,
292.5,1656667,943792,1008921,862081,1117865,182095,
293.5,1632537,933896,977517,847800,1097938,180226,
294.5,1607315,924223,947148,833855,1078135,178080,
295.5,1581007,914748,917792,820211,1058439,175656,
296.5,1553628,905450,889425,806836,1038835,172952,
297.5,1525200,896308,862024,793700,1019308,169974,
298.5,1495753,887301,835564,780773,999847,166726,
299.5,1465325,878411,810020,768027,980446,163219,
300.5,1433963,869619,785366,755436,961096,159465,
301.5,1401721,860909,761575,742976,941795,155478,
302.5,1368658,852265,738621,730625,922542,151277,
303.5,1334842,843671,716475,718361,903337,146882,
304.5,1300346,835113,695110,706165,884183,142314,
305.5,1265248,826579,674498,694019,865086,137598,
306.5,1229630,818056,654613,681908,846051,132762,
307.5,1193578,809533,635425,669817,827088,127832,
308.5,1157183,800999,616907,657734,808206,122839,
309.5,1120535,792447,599032,645649,789416,117815,
310.5,1083728,783866,581773,633552,770730,112791,
311.5,1046854,775250,565103,621436,752161,107802,
312.5,1010006,766592,548996,609297,733723,102883,
313.5,973277,757887,533425,597129,715429,98068,
314.5,936755,749130,518364,584931,697295,93394,
315.5,900529,740316,503790,572701,679334,88897,
316.5,864681,731443,489677,560442,661561,84612,
317.5,829292,722509,476001,548154,643989,80574,
318.5,794437,713511,462740,535842,626633,76817,
319.5,760187,704450,449870,523510,609504,73370,
320.5,726606,695325,437369,511165,592616,70260,
321.5,693754,686136,425217,498813,575980,67509,
322.5,661685,676884,413393,486464,559606,65130,
323.5,630445,667572,401876,474125,543505,63129,
324.5,600076,658202,390649,461807,527684,61505,
325.5,570613,648776,379693,449521,512151,60244,
326.5,542085,639297,368990,437277,496912,59326,
327.5,514515,629770,358525,425087,481974,58722,
328.5,487920,620199,348280,412963,467341,58396,
329.5,462312,610587,338243,400918,453015,58311,
330.5,437697,600940,328399,388963,439000,58426,
331.5,414075,591263,318735,377110,425296,58700,
332.5,391445,581560,309239,365373,411904,59095,
333.5,369797,571838,299901,353762,398825,59577,
334.5,349121,562101,290710,342290,386056,60113,
335.5,329402,552355,281657,330969,373596,60675,
336.5,310620,542606,272735,319808,361442,61241,
337.5,292755,532860,263936,308818,349592,61791,
338.5,275784,523122,255254,298010,338043,62308,
339.5,259681,513399,246685,287393,326789,62780,
340.5,244418,503695,238225,276974,315828,63196,
341.5,229968,494016,229870,266762,305154,63550,
342.5,216301,484368,221618,256764,294763,63836,
343.5,203386,474756,213469,246987,284650,64050,
344.5,191193,465186,205422,237435,274809,64191,
345.5,179690,455661,197478,228114,265236,64258,
346.5,168847,446188,189639,219028,255926,64251,
347.5,158633,436771,181907,210179,246873,64171,
348.5,149018,427414,174285,201571,238072,64020,
349.5,139970,418121,166777,193205,229518,63800,
