NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_12h_A_LS 2020-09-21 10-36-33.nano,
Operator Name,EF,
Time Captured,10:36:33  21/09/2020,
Sample Description,HOT1A3_12h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
101.5,0,0,6370,562,1733,1551,
102.5,0,0,5364,428,1448,1309,
103.5,0,0,4443,324,1192,1086,
104.5,0,0,3622,244,966,887,
105.5,0,0,2908,183,773,713,
106.5,0,0,2301,137,609,565,
107.5,0,0,1795,102,474,441,
108.5,0,0,1383,76,365,340,
109.5,0,0,1053,57,278,259,
110.5,0,0,793,43,209,195,
111.5,0,0,591,32,156,145,
112.5,0,0,436,24,115,107,
113.5,0,0,320,19,85,78,
114.5,0,0,233,14,62,57,
115.5,0,0,168,11,45,41,
116.5,0,0,122,9,33,30,
117.5,0,0,87,7,24,21,
118.5,0,0,63,5,17,15,
119.5,0,0,45,4,12,11,
120.5,0,0,33,3,9,8,
121.5,0,0,24,3,7,6,
122.5,0,0,17,2,5,4,
123.5,0,0,13,2,4,3,
124.5,0,0,9,2,3,2,
125.5,0,0,7,1,2,2,
126.5,0,0,5,1,2,1,
127.5,0,0,4,1,1,0,
128.5,0,0,3,0,1,0,
129.5,0,0,3,0,0,0,
130.5,0,0,2,0,0,0,
131.5,0,0,2,0,0,0,
132.5,0,0,2,0,0,0,
133.5,0,0,1,0,0,0,
134.5,1,0,1,0,0,0,
135.5,2,0,1,0,1,0,
136.5,4,0,1,0,1,0,
137.5,7,0,1,0,2,2,
138.5,13,0,1,0,4,3,
139.5,22,1,1,0,6,5,
140.5,37,2,1,0,10,9,
141.5,63,5,2,0,17,15,
142.5,104,10,2,0,29,25,
143.5,171,20,2,0,48,41,
144.5,276,38,3,0,79,66,
145.5,436,71,3,0,128,104,
146.5,677,131,4,0,203,161,
147.5,1029,235,6,0,317,243,
148.5,1530,410,8,0,487,360,
149.5,2223,696,11,0,733,523,
150.5,3157,1150,15,0,1081,743,
151.5,4379,1846,21,0,1561,1034,
152.5,5929,2877,30,0,2209,1412,
153.5,7836,4352,43,0,3058,1892,
154.5,10108,6389,62,0,4140,2491,
155.5,12727,9099,91,0,5479,3224,
156.5,15645,12569,132,0,7087,4102,
157.5,18780,16840,193,0,8953,5129,
158.5,22019,21878,282,0,11045,6296,
159.5,25230,27563,410,0,13301,7576,
160.5,28264,33673,594,0,15633,8923,
161.5,30976,39893,854,0,17931,10270,
162.5,33233,45838,1219,0,20073,11530,
163.5,34929,51086,1724,0,21935,12610,
164.5,35994,55232,2412,0,23410,13416,
165.5,36399,57939,3336,0,24418,13868,
166.5,36154,58983,4555,0,24923,13911,
167.5,35311,58284,6136,0,24933,13525,
168.5,33947,55917,8145,0,24502,12728,
169.5,32162,52098,10648,0,23727,11583,
170.5,30066,47152,13700,0,22729,10200,
171.5,27768,41467,17335,0,21642,8744,
172.5,25372,35446,21561,0,20595,7463,
173.5,22966,29459,26351,0,19694,6697,
174.5,20625,23812,31629,0,19017,6747,
175.5,18404,18727,37276,0,18602,7609,
176.5,16342,14334,43122,0,18450,8993,
177.5,14462,10682,48956,0,18525,10596,
178.5,12774,7753,54534,0,18765,12209,
179.5,11280,5483,59598,0,19091,13698,
