NTA Experiment Summary File,
523.5,0,20613,0,0,5153,5153,
524.5,0,20829,0,0,5207,5207,
525.5,0,21018,0,0,5254,5254,
526.5,0,21181,0,0,5295,5295,
527.5,0,21317,0,0,5329,5329,
528.5,0,21426,0,0,5357,5357,
529.5,0,21507,0,0,5377,5377,
530.5,0,21561,0,0,5390,5390,
531.5,0,21587,0,0,5397,5397,
532.5,0,21585,0,0,5396,5396,
533.5,0,21555,0,0,5389,5389,
534.5,0,21497,0,0,5374,5374,
535.5,0,21413,0,0,5353,5353,
536.5,0,21301,0,0,5325,5325,
537.5,0,21164,0,0,5291,5291,
538.5,0,21000,0,0,5250,5250,
539.5,0,20812,0,0,5203,5203,
540.5,0,20600,0,0,5150,5150,
541.5,0,20364,0,0,5091,5091,
542.5,0,20107,0,0,5027,5027,
543.5,0,19828,0,0,4957,4957,
544.5,0,19528,0,0,4882,4882,
545.5,0,19210,0,0,4803,4803,
546.5,0,18874,0,0,4718,4718,
547.5,0,18521,0,0,4630,4630,
548.5,0,18153,0,0,4538,4538,
549.5,0,17770,0,0,4443,4443,
550.5,0,17375,0,0,4344,4344,
551.5,0,16968,0,0,4242,4242,
552.5,0,16551,0,0,4138,4138,
553.5,0,16125,0,0,4031,4031,
554.5,0,15691,0,0,3923,3923,
555.5,0,15251,0,0,3813,3813,
556.5,0,14806,0,0,3702,3702,
557.5,0,14357,0,0,3589,3589,
558.5,0,13906,0,0,3476,3476,
559.5,0,13453,0,0,3363,3363,
560.5,0,13000,0,0,3250,3250,
561.5,0,12547,0,0,3137,3137,
562.5,0,12097,0,0,3024,3024,
563.5,0,11649,0,0,2912,2912,
564.5,0,11205,0,0,2801,2801,
565.5,0,10766,0,0,2691,2691,
566.5,0,10332,0,0,2583,2583,
567.5,0,9905,0,0,2476,2476,
568.5,0,9484,0,0,2371,2371,
569.5,0,9071,0,0,2268,2268,
570.5,0,8667,0,0,2167,2167,
571.5,0,8271,0,0,2068,2068,
572.5,0,7885,0,0,1971,1971,
573.5,0,7509,0,0,1877,1877,
574.5,0,7142,0,0,1786,1786,
575.5,0,6787,0,0,1697,1697,
576.5,0,6441,0,0,1610,1610,
577.5,0,6107,0,0,1527,1527,
578.5,0,5784,0,0,1446,1446,
579.5,0,5472,0,0,1368,1368,
580.5,0,5171,0,0,1293,1293,
581.5,0,4882,0,0,1221,1221,
582.5,0,4604,0,0,1151,1151,
583.5,0,4337,0,0,1084,1084,
584.5,0,4082,0,0,1020,1020,
585.5,0,3837,0,0,959,959,
586.5,0,3603,0,0,901,901,
587.5,0,3380,0,0,845,845,
588.5,0,3167,0,0,792,792,
589.5,0,2965,0,0,741,741,
590.5,0,2773,0,0,693,693,
591.5,0,2591,0,0,648,648,
592.5,0,2418,0,0,604,604,
593.5,0,2254,0,0,564,564,
594.5,0,2099,0,0,525,525,
595.5,0,1953,0,0,488,488,
596.5,0,1815,0,0,454,454,
597.5,0,1686,0,0,421,421,
598.5,0,1564,0,0,391,391,
599.5,0,1449,0,0,362,362,
600.5,0,1341,0,0,335,335,
601.5,0,1241,0,0,310,310,
602.5,0,1146,0,0,287,287,
603.5,0,1058,0,0,265,265,
604.5,0,976,0,0,244,244,
605.5,0,899,0,0,225,225,
606.5,0,827,0,0,207,207,
607.5,0,760,0,0,190,190,
608.5,0,699,0,0,175,175,
609.5,0,641,0,0,160,160,
610.5,0,588,0,0,147,147,
611.5,0,538,0,0,135,135,
612.5,0,492,0,0,123,123,
613.5,0,450,0,0,113,113,
