NTA Experiment Summary File,
146.5,336574,97962,288700,123635,211718,59311,
147.5,340307,92264,296658,139732,217240,59916,
148.5,342891,87283,303749,157337,222815,60294,
149.5,344286,83017,309899,176323,228381,60498,
150.5,344478,79455,315045,196495,233868,60597,
151.5,343480,76584,319143,217584,239198,60674,
152.5,341331,74390,322160,239255,244284,60809,
153.5,338094,72859,324084,261109,249036,61065,
154.5,333853,71985,324916,282705,253365,61480,
155.5,328711,71765,324676,303571,257181,62050,
156.5,322786,72207,323397,323231,260405,62733,
157.5,316204,73323,321127,341225,262970,63447,
158.5,309098,75140,317925,357136,264824,64084,
159.5,301602,77689,313861,370606,265939,64525,
160.5,293850,81014,309015,381356,266309,64648,
161.5,285968,85169,303472,389199,265952,64343,
162.5,278078,90214,297320,394043,264914,63520,
163.5,270290,96220,290652,395891,263263,62111,
164.5,262703,103263,283561,394837,261091,60073,
165.5,255406,111422,276137,391056,258505,57390,
166.5,248475,120777,268470,384787,255627,54070,
167.5,241975,131405,260643,376319,252586,50143,
168.5,235961,143374,252736,365976,249512,45665,
169.5,230478,156737,244823,354097,246534,40717,
170.5,225559,171526,236970,341023,243770,35420,
171.5,221234,187745,229237,327084,241325,29965,
172.5,217523,205362,221677,312590,239288,24678,
173.5,214442,224300,214337,297824,237726,20169,
174.5,212002,244437,207254,283034,236682,17521,
175.5,210210,265594,200463,268434,236175,17925,
176.5,209070,287542,193989,254202,236201,21366,
177.5,208583,309994,187854,240480,236728,26713,
178.5,208751,332619,182073,227381,237706,32975,
179.5,209570,355041,176657,214985,239063,39576,
180.5,211036,376859,171613,203349,240715,46177,
181.5,213144,397656,166946,192509,242564,52554,
182.5,215885,417016,162656,182480,244509,58542,
183.5,219249,434547,158741,173265,246450,64011,
184.5,223220,449890,155198,164855,248291,68859,
185.5,227781,462743,152020,157233,249944,73006,
186.5,232909,472868,149202,150376,251339,76398,
187.5,238574,480103,146735,144257,252417,79004,
188.5,244742,484367,144611,138848,253142,80818,
189.5,251371,485660,142820,134119,253492,81856,
190.5,258408,484062,141353,130043,253467,82159,
191.5,265797,479719,140201,126592,253077,81786,
192.5,273467,472841,139352,123742,252350,80814,
193.5,281341,463684,138796,121471,251323,79332,
194.5,289332,452537,138523,119761,250038,77437,
195.5,297344,439709,138522,118595,248542,75231,
196.5,305273,425519,138780,117961,246883,72817,
197.5,313008,410278,139288,117851,245106,70288,
198.5,320435,394288,140031,118258,243253,67729,
199.5,327434,377825,140999,119180,241360,65212,
200.5,333886,361142,142176,120617,239455,62790,
201.5,339674,344459,143550,122572,237564,60494,
202.5,344686,327967,145105,125051,235702,58339,
203.5,348817,311821,146825,128060,233881,56319,
204.5,351974,296150,148693,131607,232106,54412,
205.5,354078,281051,150692,135701,230381,52586,
206.5,355065,266597,152802,140350,228704,50802,
207.5,354889,252835,155004,145563,227073,49022,
208.5,353523,239795,157276,151345,225485,47212,
209.5,350964,227488,159597,157697,223936,45347,
210.5,347224,215912,161943,164619,222424,43414,
211.5,342340,205054,164290,172101,220946,41417,
212.5,336364,194891,166615,180129,219500,39380,
213.5,329369,185395,168893,188679,218084,37347,
214.5,321440,176532,171100,197717,216697,35383,
215.5,312676,168264,173209,207196,215336,33580,
216.5,303184,160551,175198,217058,213998,32049,
217.5,293079,153355,177042,227230,212677,30910,
218.5,282479,146634,178718,237624,211364,30280,
219.5,271501,140348,180206,248138,210048,30244,
220.5,260263,134457,181484,258654,208715,30831,
221.5,248875,128925,182535,269040,207344,32011,
222.5,237443,123714,183342,279153,205913,33695,
223.5,226063,118791,183892,288838,204396,35764,
224.5,214822,114122,184172,297935,202763,38085,
225.5,203797,109677,184174,306279,200982,40532,
226.5,193054,105429,183891,313705,199020,42989,
227.5,182650,101350,183320,320054,196844,45354,
228.5,172629,97418,182460,325179,194422,47544,
229.5,163027,93610,181313,328946,191724,49488,
230.5,153868,89909,179883,331243,188726,51128,
231.5,145171,86296,178177,331981,185406,52423,
232.5,136944,82759,176205,331100,181752,53341,
233.5,129191,79285,173978,328570,177756,53863,
234.5,121909,75864,171510,324396,173420,53982,
235.5,115090,72489,168817,318613,168752,53700,
236.5,108723,69156,165913,311291,163771,53032,
237.5,102792,65862,162818,302526,158500,51999,
238.5,97280,62606,159550,292446,152971,50632,
239.5,92170,59389,156129,281198,147221,48968,
240.5,87439,56213,152573,268949,141293,47048,
241.5,83068,53084,148902,255878,135233,44918,
242.5,79036,50006,145137,242171,129088,42627,
243.5,75321,46987,141296,228017,122905,40223,
244.5,71903,44032,137398,213600,116733,37755,
245.5,68762,41152,133461,199096,110618,35270,
246.5,65877,38352,129501,184671,104600,32812,
247.5,63231,35641,125536,170473,98720,30422,
248.5,60804,33026,121581,156634,93011,28136,
249.5,58581,30514,117648,143267,87502,25985,
250.5,56544,28111,113751,130464,82218,23994,
251.5,54678,25823,109902,118300,77176,22184,
252.5,52969,23653,106111,106828,72390,20566,
253.5,51403,21604,102387,96085,67870,19147,
254.5,49967,19679,98738,86090,63619,17924,
255.5,48649,17878,95171,76850,59637,16891,
256.5,47436,16200,91692,68357,55921,16031,
257.5,46319,14643,88306,60594,52466,15327,
258.5,45286,13206,85017,53536,49261,14755,
259.5,44328,11884,81827,47149,46297,14292,
260.5,43434,10673,78738,41397,43561,13916,
261.5,42598,9568,75754,36240,41040,13605,
262.5,41808,8563,72872,31635,38720,13340,
263.5,41058,7654,70095,27539,36587,13108,
264.5,40340,6833,67422,23909,34626,12896,
265.5,39646,6094,64851,20704,32824,12694,
266.5,38969,5432,62382,17883,31167,12497,
267.5,38302,4840,60012,15409,29641,12299,
268.5,37640,4312,57741,13244,28234,12097,
269.5,36975,3842,55564,11357,26935,11890,
270.5,36304,3425,53481,9715,25731,11676,
271.5,35621,3056,51489,8291,24614,11455,
272.5,34922,2729,49584,7060,23574,11227,
273.5,34202,2441,47764,5997,22601,10992,
274.5,33458,2187,46026,5082,21689,10751,
275.5,32688,1964,44368,4297,20829,10504,
276.5,31890,1768,42785,3625,20017,10251,
277.5,31062,1595,41276,3050,19246,9995,
278.5,30204,1444,39837,2560,18511,9735,
279.5,29314,1312,38466,2144,17809,9472,
280.5,28395,1196,37159,1791,17135,9207,
281.5,27446,1095,35914,1492,16487,8941,
282.5,26471,1007,34728,1239,15861,8674,
283.5,25471,930,33599,1027,15257,8409,
284.5,24449,864,32523,849,14671,8144,
285.5,23409,806,31499,700,14103,7883,
286.5,22354,756,30524,575,13552,7625,
287.5,21290,714,29595,471,13018,7371,
288.5,20220,678,28712,385,12499,7124,
289.5,19149,648,27870,314,11995,6882,
290.5,18082,623,27068,255,11507,6649,
291.5,17023,603,26305,207,11035,6423,
292.5,15978,588,25578,167,10578,6207,
293.5,14952,577,24886,134,10137,6001,
294.5,13948,570,24226,108,9713,5805,
295.5,12970,567,23598,86,9305,5620,
296.5,12023,568,22999,69,8915,5446,
297.5,11109,574,22428,55,8541,5283,
298.5,10232,584,21884,44,8186,5131,
299.5,9394,598,21364,35,7848,4989,
300.5,8596,617,20869,27,7527,4858,
301.5,7841,641,20396,21,7225,4735,
302.5,7130,670,19944,17,6940,4622,
303.5,6462,706,19512,13,6673,4517,
304.5,5838,749,19100,10,6424,4419,
305.5,5257,800,18705,8,6193,4328,
306.5,4720,860,18327,6,5978,4242,
307.5,4224,930,17965,5,5781,4161,
308.5,3769,1012,17618,4,5601,4084,
309.5,3352,1107,17285,3,5437,4010,
310.5,2973,1218,16965,2,5290,3939,
311.5,2629,1347,16657,2,5159,3870,
312.5,2318,1497,16361,1,5044,3803,
313.5,2038,1671,16076,1,4946,3736,
314.5,1787,1872,15801,0,4865,3671,
315.5,1563,2106,15536,0,4801,3606,
316.5,1363,2377,15278,0,4755,3542,
317.5,1186,2691,15029,0,4727,3478,
318.5,1029,3054,14788,0,4718,3416,
319.5,891,3473,14553,0,4729,3356,
320.5,770,3956,14325,0,4763,3300,
321.5,664,4511,14102,0,4819,3250,
322.5,571,5149,13885,0,4901,3208,
323.5,490,5879,13672,0,5010,3179,
324.5,420,6711,13463,0,5149,3168,
325.5,360,7656,13259,0,5319,3180,
326.5,307,8724,13058,0,5522,3224,
327.5,262,9926,12859,0,5762,3306,
328.5,223,11270,12664,0,6039,3434,
329.5,190,12765,12471,0,6356,3616,
330.5,162,14414,12280,0,6714,3854,
331.5,137,16221,12091,0,7112,4153,
332.5,116,18183,11903,0,7551,4512,
333.5,99,20293,11716,0,8027,4928,
334.5,84,22540,11531,0,8539,5396,
335.5,71,24905,11346,0,9081,5910,
336.5,60,27361,11162,0,9646,6462,
337.5,51,29877,10979,0,10227,7040,
338.5,43,32410,10796,0,10812,7634,
339.5,37,34916,10613,0,11391,8229,
340.5,31,37339,10431,0,11950,8812,
341.5,27,39622,10249,0,12474,9365,
342.5,23,41704,10067,0,12948,9874,
343.5,19,43523,9885,0,13357,10321,
344.5,16,45021,9704,0,13685,10692,
345.5,14,46144,9523,0,13920,10973,
346.5,12,46844,9342,0,14049,11151,
347.5,10,47087,9161,0,14065,11217,
348.5,9,46851,8981,0,13960,11166,
349.5,8,46128,8801,0,13734,10995,
350.5,7,44929,8622,0,13389,10708,
351.5,6,43278,8444,0,12932,10309,
352.5,5,41217,8266,0,12372,9810,
353.5,4,38800,8090,0,11724,9225,
354.5,4,36095,7914,0,11003,8569,
355.5,3,33173,7740,0,10229,7863,
356.5,3,30115,7568,0,9421,7125,
357.5,3,26997,7397,0,8599,6376,
358.5,2,23896,7227,0,7781,5635,
359.5,2,20878,7060,0,6985,4921,
360.5,2,18004,6895,0,6225,4249,
361.5,2,15320,6732,0,5513,3634,
362.5,2,12862,6571,0,4859,3085,
363.5,1,10653,6412,0,4267,2611,
364.5,1,8702,6257,0,3740,2216,
365.5,1,7010,6104,0,3279,1902,
366.5,1,5569,5954,0,2881,1665,
367.5,1,4362,5807,0,2542,1497,
368.5,0,3368,5663,0,2258,1385,
369.5,0,2564,5522,0,2022,1314,
370.5,0,1923,5384,0,1827,1269,
371.5,0,1422,5250,0,1668,1240,
372.5,0,1037,5120,0,1539,1218,
373.5,0,744,4992,0,1434,1199,
374.5,0,527,4868,0,1349,1180,
375.5,0,367,4748,0,1279,1160,
376.5,0,252,4632,0,1221,1138,
377.5,0,171,4519,0,1173,1116,
378.5,0,114,4409,0,1131,1093,
379.5,0,75,4303,0,1095,1070,
380.5,0,48,4201,0,1063,1046,
381.5,0,31,4103,0,1034,1023,
382.5,0,19,4008,0,1007,1000,
383.5,0,12,3917,0,982,978,
384.5,0,7,3829,0,959,957,
385.5,0,4,3745,0,937,936,
386.5,0,3,3664,0,917,916,
387.5,0,2,3586,0,897,896,
388.5,0,0,3512,0,879,878,
389.5,1,0,3442,0,861,860,
390.5,1,0,3374,0,844,843,
391.5,1,0,3310,0,828,827,
392.5,1,0,3249,0,813,812,
393.5,1,0,3191,0,798,798,
394.5,2,0,3137,0,785,784,
395.5,2,0,3085,1,772,771,
396.5,2,0,3036,1,760,759,
397.5,2,0,2990,2,748,747,
398.5,2,0,2947,2,738,736,
399.5,3,0,2906,3,728,726,
400.5,3,0,2868,4,719,717,
401.5,3,0,2833,5,710,708,
402.5,4,0,2801,7,703,699,
403.5,4,0,2770,9,696,691,
404.5,5,0,2743,12,690,684,
405.5,6,0,2717,16,685,678,
406.5,6,0,2694,20,680,671,
407.5,7,0,2673,26,677,666,
408.5,8,0,2655,34,674,660,
409.5,10,0,2638,44,673,655,
410.5,11,0,2624,56,673,650,
411.5,13,0,2612,72,674,646,
412.5,15,0,2601,91,677,642,
413.5,17,0,2593,115,681,638,
414.5,20,0,2586,145,688,634,
415.5,23,0,2582,181,697,630,
416.5,27,0,2579,226,708,626,
417.5,31,0,2578,280,722,622,
418.5,36,0,2578,344,740,618,
419.5,42,0,2580,421,761,614,
420.5,49,0,2584,512,786,610,
421.5,56,0,2589,618,816,607,
422.5,65,0,2596,741,851,605,
423.5,76,0,2604,884,891,605,
424.5,88,0,2613,1046,937,607,
425.5,102,0,2624,1229,989,612,
426.5,118,0,2636,1434,1047,621,
427.5,136,0,2649,1661,1112,636,
428.5,157,0,2664,1909,1182,656,
429.5,181,0,2679,2178,1259,684,
430.5,209,0,2695,2464,1342,717,
431.5,240,0,2713,2767,1430,758,
432.5,275,0,2731,3081,1522,804,
