NTA Experiment Summary File,
200.5,129636,131044,11259,237726,127416,46259,
201.5,122057,125343,10727,233606,122933,45502,
202.5,113811,118145,10187,227665,117452,44410,
203.5,105073,109736,9639,220020,111117,43008,
204.5,96027,100434,9084,210821,104092,41328,
205.5,86855,90574,8523,200256,96552,39405,
206.5,77734,80482,7959,188536,88678,37276,
207.5,68829,70464,7394,175893,80645,34978,
208.5,60283,60785,6832,162575,72619,32548,
209.5,52217,51664,6276,148835,64748,30025,
210.5,44725,43265,5731,134923,57161,27446,
211.5,37876,35698,5200,121082,49964,24852,
212.5,31710,29020,4687,107539,43239,22278,
213.5,26241,23244,4197,94496,37044,19763,
214.5,21462,18343,3731,82128,31416,17340,
215.5,17347,14261,3293,70578,26370,15041,
216.5,13855,10924,2885,59953,21904,12893,
217.5,10934,8244,2508,50324,18003,10916,
218.5,8524,6130,2164,41730,14637,9126,
219.5,6566,4490,1852,34172,11770,7529,
220.5,4995,3240,1573,27627,9359,6129,
221.5,3754,2303,1325,22046,7357,4922,
222.5,2787,1613,1107,17358,5716,3897,
223.5,2043,1113,917,13482,4389,3041,
224.5,1479,756,754,10328,3329,2339,
225.5,1058,506,614,7800,2495,1773,
226.5,747,334,496,5808,1846,1323,
227.5,521,217,398,4262,1349,973,
228.5,359,139,316,3082,974,704,
229.5,244,87,249,2196,694,502,
230.5,164,54,194,1541,488,352,
231.5,109,33,151,1066,340,243,
232.5,71,20,116,726,233,165,
233.5,46,12,88,487,158,111,
234.5,29,7,67,322,106,73,
235.5,19,4,50,209,70,47,
236.5,12,2,37,134,46,30,
237.5,7,1,27,85,30,19,
238.5,4,0,20,53,19,12,
239.5,3,0,14,32,12,7,
240.5,2,0,10,19,8,4,
241.5,0,0,7,12,5,3,
242.5,0,0,5,7,3,2,
243.5,0,0,4,4,2,1,
244.5,0,0,3,2,1,0,
245.5,0,0,2,1,0,0,
246.5,0,0,1,0,0,0,
247.5,0,0,0,0,0,0,
248.5,0,0,0,0,0,0,
249.5,0,0,0,0,0,0,
250.5,0,0,0,0,0,0,
251.5,0,0,0,0,0,0,
252.5,0,0,0,0,0,0,
253.5,0,0,0,0,0,0,
254.5,0,0,0,0,0,0,
