NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BGP6_72h_B_LS 2020-11-03 11-29-46.nano,
Operator Name,EF,
Time Captured,11:29:46  03/11/2020,
Sample Description,BGP6_72h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BGP6_72h_B_LS 2020-11-03 11-30-23,BGP6_72h_B_LS 2020-11-03 11-31-32,BGP6_72h_B_LS 2020-11-03 11-32-41,BGP6_72h_B_LS 2020-11-03 11-33-50,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.500,23.543,23.611,23.623,
Viscosity/cP,0.919920,0.919001,0.917550,0.917294,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,15.6740,17.5426,20.0801,21.6991,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
148.5,1161749,1262247,1032165,1025829,1120498,56686,
149.5,1156895,1221786,1014093,1028122,1105224,50420,
150.5,1151220,1179941,995850,1030149,1089290,44983,
151.5,1144705,1137214,977498,1031822,1072810,40908,
152.5,1137338,1094075,959090,1033053,1055889,38712,
153.5,1129111,1050958,940673,1033756,1038624,38685,
154.5,1120025,1008252,922291,1033849,1021104,40699,
155.5,1110089,966300,903980,1033256,1003406,44286,
156.5,1099315,925398,885773,1031905,985598,48875,
157.5,1087728,885794,867698,1029730,967738,53978,
158.5,1075354,847692,849776,1026675,949874,59234,
159.5,1062230,811251,832027,1022689,932049,64394,
160.5,1048397,776590,814467,1017733,914297,69289,
161.5,1033902,743793,797108,1011774,896644,73805,
162.5,1018797,712913,779959,1004790,879115,77868,
163.5,1003138,683974,763027,996770,861727,81431,
164.5,986984,656976,746317,987710,844497,84467,
165.5,970399,631902,729832,977617,827438,86964,
166.5,953446,608717,713574,966508,810561,88921,
167.5,936191,587373,697542,954406,793878,90345,
168.5,918699,567816,681735,941347,777399,91251,
169.5,901036,549982,666154,927369,761135,91657,
170.5,883265,533803,650794,912520,745096,91587,
171.5,865449,519208,635655,896854,729292,91067,
172.5,847646,506126,620734,880430,713734,90125,
173.5,829914,494484,606028,863309,698434,88791,
174.5,812306,484210,591535,845559,683402,87096,
175.5,794871,475235,577253,827246,668651,85072,
176.5,777655,467490,563181,808442,654192,82753,
177.5,760698,460908,549317,789217,640035,80172,
178.5,744038,455426,535661,769642,626191,77364,
179.5,727707,450980,522211,749785,612671,74364,
180.5,711733,447512,508970,729715,599482,71209,
181.5,696140,444963,495937,709498,586634,67936,
182.5,680948,443277,483113,689197,574134,64587,
183.5,666173,442397,470502,668874,561986,61204,
184.5,651827,442270,458105,648584,550197,57834,
185.5,637918,442843,445925,628382,538767,54530,
186.5,624451,444062,433966,608317,527699,51349,
187.5,611428,445874,422232,588435,516992,48356,
188.5,598850,448227,410727,568777,506645,45621,
189.5,586711,451066,399455,549381,496653,43221,
190.5,575008,454337,388422,530282,487012,41234,
191.5,563732,457986,377631,511508,477714,39736,
192.5,552873,461957,367088,493086,468751,38784,
193.5,542422,466193,356798,475039,460113,38415,
194.5,532365,470636,346765,457385,451788,38632,
195.5,522688,475229,336995,440141,443763,39404,
196.5,513378,479913,327491,423318,436025,40672,
197.5,504419,484626,318257,406928,428558,42360,
198.5,495795,489311,309299,390977,421345,44384,
199.5,487489,493907,300618,375469,414371,46659,
200.5,479484,498354,292218,360409,407616,49112,
201.5,471763,502595,284101,345797,401064,51673,
202.5,464308,506570,276269,331631,394694,54286,
203.5,457102,510224,268723,317910,388490,56901,
204.5,450128,513502,261465,304629,382431,59476,
205.5,443367,516354,254494,291783,376499,61976,
206.5,436802,518728,247810,279366,370677,64372,
207.5,430417,520581,241413,267371,364945,66639,
208.5,424193,521868,235300,255791,359288,68757,
209.5,418114,522552,229470,244617,353688,70706,
210.5,412164,522599,223921,233839,348131,72474,
211.5,406326,521979,218649,223450,342601,74049,
212.5,400585,520667,213651,213438,337085,75421,
213.5,394925,518643,208923,203795,331572,76583,
214.5,389331,515893,204461,194511,326049,77530,
215.5,383789,512406,200260,185575,320508,78260,
216.5,378285,508179,196315,176978,314939,78771,
217.5,372806,503212,192622,168710,309337,79064,
218.5,367337,497511,189174,160760,303696,79142,
219.5,361869,491087,185965,153119,298010,79006,
220.5,356388,483955,182991,145778,292278,78664,
221.5,350884,476136,180244,138726,286498,78121,
222.5,345347,467655,177717,131955,280668,77385,
223.5,339766,458539,175405,125456,274792,76465,
224.5,334135,448822,173300,119220,268869,75372,
225.5,328444,438539,171396,113237,262904,74115,
226.5,322687,427730,169684,107501,256901,72708,
227.5,316858,416437,168158,102002,250864,71163,
228.5,310952,404703,166809,96733,244799,69493,
229.5,304964,392574,165630,91686,238714,67713,
230.5,298892,380100,164611,86854,232614,65838,
231.5,292734,367328,163745,82229,226509,63883,
232.5,286489,354309,163023,77804,220406,61863,
233.5,280156,341092,162434,73574,214314,59796,
234.5,273738,327730,161969,69530,208241,57698,
235.5,267236,314270,161618,65667,202198,55586,
236.5,260653,300764,161370,61978,196191,53476,
237.5,253996,287260,161213,58458,190232,51386,
238.5,247268,273804,161136,55101,184327,49333,
239.5,240477,260442,161127,51900,178487,47333,
240.5,233630,247219,161173,48851,172718,45403,
241.5,226736,234175,161259,45949,167030,43558,
242.5,219803,221350,161373,43187,161428,41812,
243.5,212844,208781,161499,40561,155921,40180,
244.5,205867,196500,161622,38067,150514,38672,
245.5,198885,184538,161728,35698,145212,37298,
246.5,191910,172924,161800,33451,140021,36063,
247.5,184954,161682,161822,31321,134945,34971,
248.5,178030,150832,161777,29303,129986,34023,
249.5,171151,140393,161650,27394,125147,33213,
250.5,164329,130380,161424,25588,120430,32534,
251.5,157579,120803,161082,23882,115837,31976,
252.5,150912,111672,160609,22272,111366,31526,
253.5,144342,102992,159990,20753,107019,31168,
254.5,137880,94765,159210,19322,102794,30884,
255.5,131537,86989,158256,17975,98689,30658,
256.5,125326,79664,157114,16708,94703,30472,
257.5,119255,72782,155773,15517,90832,30309,
258.5,113335,66336,154225,14400,87074,30153,
259.5,107575,60316,152461,13353,83426,29991,
260.5,101981,54711,150474,12372,79885,29809,
261.5,96562,49507,148261,11454,76446,29597,
262.5,91322,44690,145820,10595,73107,29346,
263.5,86267,40243,143151,9794,69864,29049,
264.5,81399,36152,140257,9047,66714,28699,
265.5,76723,32397,137143,8350,63653,28294,
266.5,72240,28962,133815,7702,60680,27832,
267.5,67950,25828,130285,7099,57790,27310,
268.5,63854,22977,126563,6539,54983,26730,
269.5,59950,20392,122665,6019,52256,26092,
270.5,56237,18053,118605,5537,49608,25401,
271.5,52712,15944,114402,5091,47037,24659,
272.5,49372,14047,110076,4679,44543,23870,
273.5,46212,12346,105646,4297,42125,23039,
274.5,43229,10825,101135,3945,39784,22172,
275.5,40417,9468,96565,3620,37518,21274,
276.5,37771,8262,91959,3321,35328,20351,
277.5,35285,7192,87339,3046,33215,19410,
278.5,32952,6246,82728,2792,31179,18457,
279.5,30768,5411,78147,2559,29221,17497,
280.5,28724,4677,73620,2346,27342,16538,
281.5,26816,4033,69164,2150,25541,15584,
282.5,25035,3470,64800,1970,23819,14641,
283.5,23377,2978,60543,1805,22176,13714,
284.5,21833,2550,56411,1654,20612,12808,
285.5,20398,2179,52417,1516,19128,11928,
286.5,19066,1857,48572,1390,17721,11075,
287.5,17830,1580,44887,1275,16393,10255,
288.5,16685,1341,41369,1170,15141,9469,
289.5,15625,1135,38025,1074,13965,8720,
290.5,14644,959,34858,987,12862,8009,
291.5,13738,808,31872,907,11831,7338,
292.5,12900,680,29066,834,10870,6707,
293.5,12128,571,26439,768,9976,6116,
294.5,11415,478,23990,708,9148,5567,
295.5,10758,399,21715,653,8381,5057,
296.5,10153,333,19608,603,7674,4587,
297.5,9597,277,17664,557,7024,4155,
298.5,9085,230,15877,516,6427,3760,
299.5,8614,191,14238,479,5881,3402,
300.5,8183,158,12742,444,5382,3078,
301.5,7786,130,11379,413,4927,2787,
302.5,7423,107,10142,385,4514,2527,
303.5,7091,88,9022,360,4140,2296,
304.5,6786,72,8011,336,3801,2092,
305.5,6509,59,7101,315,3496,1915,
306.5,6255,48,6284,296,3221,1761,
307.5,6025,40,5552,279,2974,1629,
308.5,5816,32,4898,263,2752,1516,
309.5,5626,26,4316,249,2554,1421,
310.5,5455,21,3798,236,2378,1343,
311.5,5301,17,3338,224,2220,1277,
312.5,5164,14,2931,213,2081,1224,
313.5,5041,11,2572,204,1957,1181,
314.5,4933,9,2255,195,1848,1147,
315.5,4838,7,1975,188,1752,1120,
316.5,4755,6,1729,181,1668,1100,
317.5,4685,5,1513,175,1595,1084,
318.5,4626,4,1324,170,1531,1073,
319.5,4579,3,1158,165,1476,1065,
320.5,4541,2,1013,161,1429,1061,
321.5,4514,2,887,157,1390,1059,
322.5,4496,2,776,155,1357,1060,
323.5,4487,1,679,152,1330,1062,
324.5,4488,0,595,150,1309,1067,
325.5,4497,0,522,149,1292,1074,
326.5,4515,0,457,148,1280,1082,
327.5,4541,0,402,148,1273,1093,
328.5,4576,0,353,148,1269,1105,
329.5,4618,0,311,148,1269,1118,
330.5,4669,0,274,149,1273,1133,
331.5,4727,0,242,151,1280,1150,
332.5,4793,0,214,153,1290,1168,
333.5,4866,0,189,155,1303,1188,
334.5,4947,0,168,158,1318,1210,
335.5,5035,0,149,161,1336,1233,
336.5,5130,0,133,165,1357,1258,
337.5,5233,0,119,170,1380,1285,
338.5,5342,0,107,175,1406,1313,
339.5,5458,0,96,181,1434,1342,
340.5,5581,0,86,187,1464,1373,
341.5,5710,0,78,194,1496,1406,
342.5,5846,0,70,202,1530,1439,
343.5,5988,0,64,211,1566,1475,
344.5,6135,0,58,220,1603,1511,
345.5,6288,0,53,230,1643,1549,
346.5,6446,0,49,242,1684,1588,
347.5,6608,0,45,254,1727,1628,
348.5,6775,0,42,268,1771,1669,
349.5,6946,0,39,283,1817,1711,
350.5,7120,0,36,299,1864,1753,
351.5,7297,0,34,316,1912,1796,
352.5,7476,0,32,335,1961,1840,
353.5,7656,0,30,356,2010,1884,
354.5,7837,0,28,378,2061,1927,
355.5,8018,0,27,403,2112,1971,
356.5,8198,0,25,429,2163,2014,
357.5,8376,0,24,458,2215,2057,
358.5,8552,0,23,489,2266,2098,
359.5,8725,0,23,522,2317,2139,
360.5,8893,0,22,558,2368,2179,
361.5,9056,0,21,597,2419,2217,
362.5,9213,0,21,639,2468,2253,
363.5,9362,0,20,685,2517,2287,
364.5,9503,0,20,734,2564,2319,
365.5,9636,0,20,787,2611,2349,
366.5,9757,0,20,844,2655,2376,
367.5,9868,0,20,905,2698,2399,
368.5,9967,0,20,971,2739,2420,
369.5,10053,0,20,1042,2779,2437,
370.5,10126,0,20,1118,2816,2451,
371.5,10184,0,20,1199,2851,2460,
372.5,10227,0,21,1286,2883,2466,
373.5,10254,0,21,1379,2914,2468,
374.5,10266,0,22,1479,2942,2466,
375.5,10261,0,22,1585,2967,2459,
376.5,10239,0,23,1698,2990,2449,
377.5,10200,0,24,1819,3011,2434,
378.5,10143,0,25,1948,3029,2415,
379.5,10070,0,26,2084,3045,2392,
380.5,9979,0,27,2228,3059,2365,
381.5,9872,0,28,2382,3071,2335,
382.5,9748,0,30,2544,3080,2301,
383.5,9609,0,31,2715,3089,2265,
384.5,9453,0,33,2895,3095,2225,
385.5,9283,0,35,3085,3101,2184,
386.5,9099,0,37,3285,3105,2141,
387.5,8901,0,40,3495,3109,2097,
388.5,8691,0,42,3715,3112,2053,
389.5,8469,0,45,3944,3115,2010,
390.5,8237,0,49,4184,3118,1968,
391.5,7996,0,52,4434,3121,1929,
392.5,7746,0,56,4694,3124,1893,
393.5,7490,0,61,4964,3129,1862,
394.5,7228,0,66,5244,3134,1836,
395.5,6961,0,71,5533,3141,1817,
396.5,6690,0,77,5831,3150,1805,
397.5,6417,0,84,6138,3160,1801,
398.5,6143,0,91,6453,3172,1806,
399.5,5869,0,99,6776,3186,1820,
400.5,5596,0,108,7105,3202,1844,
401.5,5325,0,118,7442,3221,1876,
402.5,5057,0,129,7784,3242,1918,
403.5,4792,0,140,8131,3266,1967,
404.5,4533,0,153,8482,3292,2024,
405.5,4279,0,168,8835,3320,2088,
406.5,4031,0,184,9191,3351,2157,
407.5,3790,0,201,9548,3385,2231,
408.5,3556,0,220,9904,3420,2309,
409.5,3331,0,241,10259,3458,2391,
410.5,3113,0,264,10611,3497,2474,
411.5,2904,0,289,10959,3538,2558,
412.5,2704,0,316,11301,3580,2643,
413.5,2512,0,346,11637,3624,2728,
414.5,2330,0,379,11965,3668,2812,
415.5,2157,0,415,12283,3714,2894,
416.5,1993,0,454,12590,3759,2974,
417.5,1837,0,497,12885,3805,3051,
418.5,1691,0,543,13166,3850,3125,
419.5,1554,0,593,13433,3895,3195,
420.5,1425,0,648,13683,3939,3261,
421.5,1304,0,707,13916,3982,3322,
422.5,1192,0,771,14131,4023,3378,
423.5,1087,0,840,14326,4063,3429,
424.5,989,0,915,14500,4101,3474,
425.5,899,0,995,14653,4137,3513,
426.5,816,0,1081,14784,4170,3545,
427.5,739,0,1174,14891,4201,3572,
428.5,668,0,1273,14976,4229,3592,
429.5,603,0,1379,15036,4254,3605,
430.5,543,0,1492,15072,4277,3612,
431.5,489,0,1612,15083,4296,3612,
432.5,439,0,1740,15070,4312,3605,
433.5,394,0,1875,15032,4325,3592,
434.5,352,0,2019,14969,4335,3572,
435.5,315,0,2170,14883,4342,3546,
436.5,281,0,2330,14772,4346,3514,
437.5,251,0,2498,14638,4347,3476,
438.5,223,0,2673,14482,4345,3433,
439.5,198,0,2857,14303,4340,3384,
440.5,176,0,3049,14104,4332,3331,
441.5,156,0,3248,13884,4322,3274,
442.5,138,0,3455,13646,4310,3213,
443.5,122,1,3669,13389,4295,3148,
444.5,107,2,3890,13116,4279,3081,
445.5,95,2,4118,12827,4260,3012,
446.5,83,2,4350,12524,4240,2942,
447.5,73,3,4589,12207,4218,2871,
448.5,64,4,4831,11880,4195,2800,
449.5,56,5,5077,11542,4170,2730,
450.5,49,6,5326,11195,4144,2662,
451.5,43,7,5578,10841,4117,2596,
452.5,38,8,5830,10482,4089,2532,
453.5,33,10,6082,10117,4061,2473,
454.5,29,13,6332,9749,4031,2418,
455.5,25,16,6581,9380,4000,2368,
456.5,22,19,6826,9010,3969,2323,
457.5,19,23,7066,8640,3937,2284,
458.5,16,28,7301,8272,3904,2250,
459.5,14,34,7528,7907,3871,2222,
460.5,12,41,7747,7546,3837,2200,
461.5,11,49,7957,7190,3802,2183,
462.5,9,59,8155,6840,3766,2171,
463.5,8,70,8341,6496,3729,2163,
464.5,7,84,8515,6160,3691,2159,
465.5,6,100,8674,5832,3653,2158,
466.5,5,118,8817,5513,3613,2159,
467.5,4,140,8945,5202,3573,2161,
468.5,4,165,9055,4902,3532,2163,
469.5,3,194,9148,4612,3489,2166,
470.5,3,228,9222,4332,3446,2167,
471.5,2,266,9277,4062,3402,2167,
472.5,2,310,9312,3804,3357,2164,
473.5,2,361,9328,3556,3312,2159,
474.5,2,418,9324,3319,3266,2150,
475.5,1,483,9300,3094,3220,2138,
476.5,1,557,9257,2879,3173,2121,
477.5,0,639,9193,2675,3127,2101,
478.5,0,732,9111,2482,3081,2076,
479.5,0,836,9009,2299,3036,2047,
480.5,0,951,8890,2126,2992,2013,
481.5,0,1079,8753,1963,2949,1976,
482.5,0,1220,8600,1810,2908,1934,
483.5,0,1376,8430,1667,2868,1889,
484.5,0,1547,8247,1532,2831,1841,
485.5,0,1733,8049,1406,2797,1791,
486.5,0,1936,7840,1289,2766,1738,
487.5,0,2156,7619,1180,2739,1685,
488.5,0,2393,7388,1078,2715,1633,
489.5,0,2649,7149,984,2695,1582,
490.5,0,2922,6902,896,2680,1534,
491.5,0,3214,6649,816,2670,1491,
492.5,0,3524,6391,741,2664,1456,
493.5,0,3851,6130,672,2663,1429,
494.5,0,4196,5867,609,2668,1412,
495.5,0,4558,5603,551,2678,1408,
496.5,0,4935,5339,497,2693,1417,
497.5,0,5326,5076,449,2713,1441,
498.5,0,5731,4816,404,2738,1478,
499.5,0,6148,4559,363,2768,1530,
500.5,0,6574,4306,326,2802,1594,
501.5,0,7008,4059,293,2840,1669,
502.5,0,7447,3817,262,2882,1753,
503.5,0,7890,3582,234,2927,1846,
